iter	Passed	Remaining
774	4793	1391
775	4798	1385
776	4805	1379
777	4811	1372
778	4817	1366
779	4822	1360
780	4828	1354
781	4833	1347
782	4839	1341
783	4845	1334
784	4852	1329
785	4857	1322
786	4865	1316
787	4871	1310
788	4878	1304
789	4884	1298
790	4890	1292
791	4894	1285
792	4900	1279
793	4904	1272
794	4909	1265
795	4915	1259
796	4921	1253
797	4927	1247
798	4933	1241
799	4938	1234
800	4943	1228
801	4948	1221
802	4952	1215
803	4957	1208
804	4966	1202
805	4971	1196
806	4975	1190
807	4980	1183
808	4984	1176
809	4990	1170
810	4997	1164
811	5002	1158
812	5006	1151
813	5012	1145
814	5017	1138
815	5022	1132
816	5026	1125
817	5031	1119
818	5038	1113
819	5043	1107
820	5047	1100
821	5052	1094
822	5056	1087
823	5062	1081
824	5069	1075
825	5076	1069
826	5082	1063
827	5087	1056
828	5091	1050
829	5096	1043
830	5104	1038
831	5109	1031
832	5114	1025
833	5120	1019
834	5124	1012
835	5128	1006
836	5132	999
837	5139	993
838	5144	987
839	5150	981
840	5155	974
841	5160	968
842	5166	962
843	5170	955
844	5176	949
845	5181	943
846	5186	936
847	5190	930
848	5195	924
849	5218	920
850	5223	914
851	5228	908
852	5232	901
853	5238	895
854	5244	889
855	5249	883
856	5255	876
857	5259	870
858	5264	864
859	5268	857
860	5273	851
861	5280	845
862	5289	839
863	5294	833
864	5299	827
865	5305	820
866	5310	814
867	5315	808
868	5320	802
869	5325	795
870	5330	789
871	5335	783
872	5342	777
873	5347	770
874	5352	764
875	5360	758
876	5367	752
877	5373	746
878	5378	740
879	5386	734
880	5390	728
881	5395	721
882	5401	715
883	5405	709
884	5409	702
885	5414	696
886	5420	690
887	5425	684
888	5429	677
889	5434	671
890	5440	665
891	5445	659
892	5450	653
893	5454	646
894	5458	640
895	5465	634
896	5470	628
897	5477	622
898	5481	615
899	5486	609
900	5492	603
901	5497	597
902	5502	591
903	5508	585
904	5513	578
905	5518	572
906	5522	566
907	5527	560
908	5532	553
909	5537	547
910	5542	541
911	5546	535
912	5550	528
913	5557	522
914	5564	516
915	5569	510
916	5575	504
917	5580	498
918	5584	492
919	5589	486
920	5594	479
921	5600	473
922	5606	467
923	5614	461
924	5619	455
925	5623	449
926	5628	443
927	5633	437
928	5638	430
929	5642	424
930	5649	418
931	5655	412
932	5661	406
933	5666	400
934	5670	394
935	5675	388
936	5680	381
937	5685	375
938	5691	369
939	5696	363
940	5702	357
941	5707	351
942	5712	345
943	5717	339
944	5726	333
945	5731	327
946	5735	321
947	5739	314
948	5744	308
949	5748	302
950	5752	296
951	5757	290
952	5764	284
953	5769	278
954	5775	272
955	5780	266
956	5785	259
957	5792	253
958	5799	247
959	5805	241
960	5816	236
961	5823	230
962	5829	223
963	5835	217
964	5843	211
965	5849	205
966	5855	199
967	5862	193
968	5867	187
969	5872	181
970	5880	175
971	5885	169
972	5892	163
973	5898	157
974	5904	151
975	5912	145
976	5918	139
977	5924	133
978	5931	127
979	5937	121
980	5943	115
981	5948	109
982	5953	102
983	5958	96
984	5966	90
985	5974	84
986	5979	78
987	5986	72
988	5991	66
989	5996	60
990	6002	54
991	6008	48
992	6015	42
993	6021	36
994	6027	30
995	6032	24
996	6039	18
997	6043	12
998	6048	6
999	6055	0
